school_id,year,success,ela_success,math_success
640305,2003,4.388,,4.388
640305,2005,4.581,,4.581
640305,2007,4.938,5.735,4.141
640305,2008,5.089,5.844,4.333
640305,2009,5.216,5.996,4.437
640305,2010,5.286,6.119,4.453
640305,2011,5.373,6.269,4.478
640305,2012,5.095,5.976,4.214
640305,2013,4.889,6.0,3.778
640305,2014,4.852,6.096,3.607
640305,2004,3.9,,3.9
650505,2002,6.833,,6.833
650505,2003,6.498,,6.498
650505,2005,6.785,,6.785
650505,2007,7.435,7.45,7.419
650505,2008,7.647,7.554,7.739
650505,2009,8.221,8.152,8.29
650505,2010,8.251,8.383,8.119
650505,2011,8.181,8.28,8.082
650505,2012,8.372,8.471,8.272
650505,2013,8.047,8.455,7.639
650505,2014,7.99,8.281,7.698
650505,2006,8.007,7.174,8.841
650505,2004,7.521,,7.521
670305,2002,6.904,,6.904
670305,2003,6.812,,6.812
670305,2005,6.597,,6.597
670305,2007,7.114,7.562,6.667
670305,2008,7.304,7.4,7.208
670305,2009,7.094,7.627,6.562
670305,2010,7.427,7.926,6.928
670305,2011,7.62,8.109,7.131
670305,2012,8.08,8.48,7.68
670305,2013,7.504,7.65,7.358
670305,2014,7.463,7.673,7.252
670305,2004,6.914,,6.914
710305,2002,4.265,,4.265
710305,2003,4.222,,4.222
710305,2005,4.781,,4.781
710305,2007,5.922,6.822,5.022
710305,2008,5.955,6.562,5.347
710305,2009,5.753,6.598,4.909
710305,2010,6.034,6.655,5.412
710305,2011,6.392,6.84,5.944
710305,2012,6.132,6.644,5.621
710305,2013,6.179,6.893,5.465
710305,2014,5.936,6.573,5.298
710305,2004,5.037,,5.037
720050,2002,3.61,,3.61
720050,2003,4.036,,4.036
