NI,6.051,2014,01490090,89.8,96.1,12.1
NI,5.503,2007,01490050,93.8,93.2,12.2
NI,5.143,2008,01490050,100,100,11.7
NI,4.899,2009,01490050,95.7,95.4,12.1
NI,5.701,2010,01490050,97.9,95,11.1
NI,4.805,2012,01490050,96.1,95.1,14.3
NI,4.547,2013,01490050,100,99.6,13.9
NI,5.766,2014,01490050,100,77.9,9.9
P,6.482,2006,03080404,99.1,99,8.7
P,6.514,2007,03080404,100,100,10.2
P,6.921,2008,03080404,100,95.7,10.2
P,7.018,2010,03080404,98.1,97.5,9.7
P,7.057,2011,03080404,100,100,9.7
P,6.646,2014,03080404,100,100,10.3
P,7.594,2006,03350305,92.4,91.1,12.6
P,7.373,2008,03350305,96.3,96.2,12.7
P,7.822,2009,03350305,98,95.2,12.9
P,7.798,2010,03350305,98.5,97.4,13.2
P,7.832,2011,03350305,100,100,14.2
P,7.932,2012,03350305,100,100,18.0
P,7.899,2013,03350305,100,100,14.2
P,7.999,2014,03350305,100,100,13.9
P,7.67,2007,00460045,100,100,10.8
P,7.604,2008,00460045,95.1,97.7,12.6
P,7.917,2009,00460045,100,93,11.7
P,7.401,2010,00460045,100,100,12.4
P,7.986,2012,00460045,100,100,12.5
P,7.955,2013,00460045,100,100,11.8
A,8.377,2014,00460045,100,100,13.5
A,8.731,2006,03350505,93.9,91.7,12.3
A,8.945,2007,03350505,100,96.3,13.9
A,9.003,2008,03350505,92.6,92.3,12.2
A,9.105,2009,03350505,100,100,12.3
A,8.901,2010,03350505,97.1,97.1,12.5
A,9.141,2011,03350505,96.8,96.7,12.9
A,9.25,2012,03350505,98.4,98.6,13.4
A,9.42,2013,03350505,100,100,13.4
W,4.291,2008,01490537,84.6,91.1,4.3
NI,5.893,2010,01490537,97.1,100,5.7
NI,5.486,2011,01490537,100,99.1,5.8
NI,4.572,2012,01490537,100,95.5,5.9
NI,5.417,2013,01490537,97,86.8,5.9
W,3.864,2014,01490537,97,88.9,5.8
NI,4.523,2008,01370310,92.2,90.8,9.0
NI,4.989,2007,01370310,74.9,72.1,8.9
NI,4.681,2006,03480420,82.8,82.1,11.0
NI,5.0,2007,03480420,90.8,92.2,11.1
NI,5.563,2008,03480420,91.9,92.9,11.6
NI,5.402,2009,03480420,98,94.2,12.0
NI,5.54,2011,03480420,100,100,14.0
NI,5.39,2012,03480420,97.6,97.8,14.7
NI,5.24,2013,03480420,100,100,15.1
NI,5.42,2014,03480420,100,100,17.3
P,7.845,2006,06900505,86.3,87.3,15.9
P,8.106,2007,06900505,95.3,94.7,16.4
A,8.227,2008,06900505,98.2,97.3,18.3
A,8.471,2009,06900505,97.8,100,16.8
A,8.466,2011,06900505,100,100,16.8
A,8.902,2013,06900505,100,98.5,17.9
A,8.84,2014,06900505,100,100,17.1
P,7.308,2006,00550505,99.2,100,8.4
A,8.443,2007,00550505,100,100,8.0
P,7.885,2008,00550505,100,100,9.2
A,8.87,2009,00550505,100,100,8.5
A,8.456,2010,00550505,100,100,8.7
P,7.841,2011,00550505,95.8,100,8.7
P,8.051,2012,00550505,95.6,100,7.6
P,6.4,2007,06580305,99.3,99.2,13.3
P,6.757,2008,06580305,100,100,13.1
P,7.147,2009,06580305,97.8,100,12.8
P,6.825,2010,06580305,97.7,100,13.3
P,7.239,2013,06580305,100,100,14.9
P,6.721,2014,06580305,100,98,14.0
P,6.568,2007,00300305,100,86.3,13.1
P,6.468,2008,00300305,97.2,97.1,13.8
P,6.734,2009,00300305,98.9,98.3,13.3
P,6.859,2010,00300305,100,100,13.0
P,6.972,2011,00300305,100,100,13.6
