school_id,year,success_raw,success_letter
06180505,2011,8.193,A
06180505,2012,8.484,A
06180505,2013,8.655,A
06180505,2014,8.384,A
06450505,2006,7.225,P
06450505,2007,7.634,P
06450505,2008,7.692,P
06450505,2009,8.056,P
06450505,2010,8.09,P
06450505,2011,8.119,P
06450505,2012,7.752,P
06450505,2013,7.517,P
06450505,2014,6.896,P
02930525,2014,5.357,W
04890505,2006,8.455,A
04890505,2007,8.426,A
04890505,2008,8.662,A
04890505,2009,8.865,A
04890505,2010,9.005,A
04890505,2011,9.239,A
04890505,2012,9.064,A
04890505,2013,9.396,A
04890505,2014,9.469,A
01490017,2007,4.58,W
01490017,2008,4.291,NI
01490017,2009,4.767,W
01490017,2010,5.119,W
01490017,2011,4.44,W
01490017,2012,4.804,W
01490017,2013,5.075,W
01490017,2014,5.47,W
01970010,2007,6.676,P
01970010,2008,6.387,P
01970010,2009,6.159,W
01970010,2010,6.911,P
01970010,2011,6.69,P
01970010,2012,6.843,P
01970010,2013,6.573,P
01970010,2014,6.441,P
00350470,2007,5.73,W
00350470,2008,5.767,W
00350470,2009,5.553,W
00350470,2010,5.618,W
00350470,2011,5.066,W
00350470,2012,5.469,W
00350470,2013,5.286,W
00350470,2014,5.221,W
04830305,2006,6.719,P
04830305,2007,6.899,P
04830305,2008,6.774,P
04830305,2009,7.065,P
04830305,2010,7.684,P
04830305,2011,8.135,A
04830305,2012,7.669,P
04830305,2013,8.094,P
04830305,2014,8.219,A
03430505,2006,6.179,W
03430505,2007,6.2,W
03430505,2008,6.335,P
03430505,2009,6.501,P
03430505,2010,6.614,P
03430505,2011,6.485,P
03430505,2012,6.839,P
03430505,2013,6.359,P
02620505,2006,7.094,P
02620505,2007,7.269,P
02620505,2008,7.333,P
02620505,2009,7.298,P
02620505,2010,7.535,P
02620505,2011,7.492,P
02620505,2012,7.758,P
02620505,2013,8.118,P
02620505,2014,8.056,P
03440305,2006,7.844,P
03440305,2007,7.708,P
03440305,2008,8.061,P
03440305,2009,7.838,P
03440305,2010,8.094,P
03440305,2011,8.131,A
03440305,2012,8.35,A
03440305,2013,8.18,A
03440305,2014,7.777,P
02270505,2006,6.238,W
02270505,2007,6.829,P
02270505,2008,6.744,P
02270505,2009,6.864,P
02270505,2010,6.942,P
02270505,2011,7.001,P
02270505,2012,7.408,P
02270505,2013,6.975,P
02270505,2014,7.04,P
00520305,2008,6.519,P
00520305,2007,6.894,P
02430310,2006,6.25,P
02430310,2007,6.173,W
02430310,2008,6.438,P
02430310,2009,6.495,P
02430310,2010,6.589,P
02430310,2011,6.322,P
02430310,2012,6.858,P
02430310,2013,6.473,P
02430310,2014,6.455,P
00190510,2006,7.245,P
00190510,2007,7.664,P
00190510,2008,7.859,P
00190510,2009,7.765,P
00190510,2010,7.566,P
00190510,2011,8.017,P
04060705,2006,5.738,W
04060705,2007,6.183,W
04060705,2008,6.281,P
04060705,2009,6.25,P
04060705,2010,6.445,P
04060705,2011,6.748,P
04060705,2012,7.045,P
04060705,2013,7.527,P
04060705,2014,7.126,P
01100305,2007,7.083,P
01100305,2008,7.31,P
01100305,2009,7.264,P
01100305,2010,7.572,P
01100305,2011,7.677,P
01100305,2012,7.631,P
01100305,2013,7.362,P
01100305,2014,7.463,P
00350455,2008,4.563,W
00350455,2009,4.382,W
00350455,2007,4.221,NI
08550605,2006,6.221,W
08550605,2007,6.908,P
08550605,2008,6.833,P
08550605,2009,7.214,P
08550605,2010,7.464,P
08550605,2011,7.817,P
08550605,2012,8.037,P
08550605,2013,8.204,A
08550605,2014,8.147,A
00350450,2008,4.735,W
